country,state,count
United States,Alabama,62475
United States,Alaska,11324
United States,Arizona,92798
United States,Arkansas,39808
United States,California,527020
United States,Colorado,68628
United States,Connecticut,38896
United States,Delaware,11559
United States,District of Columbia,9040
United States,Florida,221394
United States,Georgia,141377
United States,Hawaii,18887
United States,Idaho,23737
United States,Illinois,171163
United States,Indiana,86673
United States,Iowa,39701
United States,Kansas,41396
United States,Kentucky,57551
United States,Louisiana,64973
United States,Maine,13470
United States,Maryland,75059
United States,Massachusetts,75016
United States,Michigan,117294
United States,Minnesota,70646
United States,Mississippi,42901
United States,Missouri,78905
United States,Montana,12257
United States,Nebraska,26936
United States,Nevada,37612
United States,New Hampshire,13377
United States,New Jersey,110331
United States,New Mexico,29000
United States,New York,248110
United States,North Carolina,126845
United States,North Dakota,9001
United States,Ohio,144841
United States,Oklahoma,54553
United States,Oregon,47132
United States,Pennsylvania,146434
United States,Rhode Island,11442
United States,South Carolina,60620
United States,South Dakota,11934
United States,Tennessee,82211
United States,Texas,401977
United States,Utah,53887
United States,Vermont,6110
United States,Virginia,105059
United States,Washington,89313
United States,West Virginia,21268
United States,Wisconsin,70843
United States,Wyoming,7881
