country,state,count
United States,Alabama,63232
United States,Alaska,10996
United States,Arizona,102429
United States,Arkansas,40961
United States,California,562440
United States,Colorado,70751
United States,Connecticut,41820
United States,Delaware,11989
United States,District of Columbia,8523
United States,Florida,236802
United States,Georgia,148633
United States,Hawaii,18982
United States,Idaho,24184
United States,Illinois,180572
United States,Indiana,88631
United States,Iowa,40607
United States,Kansas,40968
United States,Kentucky,58250
United States,Louisiana,63376
United States,Maine,14151
United States,Maryland,77494
United States,Massachusetts,77676
United States,Michigan,127483
United States,Minnesota,73525
United States,Mississippi,46056
United States,Missouri,81385
United States,Montana,12508
United States,Nebraska,26727
United States,Nevada,40027
United States,New Hampshire,14378
United States,New Jersey,115020
United States,New Mexico,29936
United States,New York,250104
United States,North Carolina,127859
United States,North Dakota,8621
United States,Ohio,150593
United States,Oklahoma,54016
United States,Oregon,48689
United States,Pennsylvania,149090
United States,Rhode Island,12372
United States,South Carolina,62171
United States,South Dakota,11919
United States,Tennessee,84355
United States,Texas,399603
United States,Utah,53504
United States,Vermont,6511
United States,Virginia,107817
United States,Washington,86876
United States,West Virginia,20931
United States,Wisconsin,72340
United States,Wyoming,7672
